,comment
10872,아 개재미있네ㅋㅋㅋㅋ
10873,저정도퀄이면 이다희 몰입할만했네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10874,I want a drama with them as lead please please
10875,So glad he finally has a drama as lead. Everybody watch Extra-ordinary you.
10876,도대체 드라마 속 드라마 코너가 왜 있는거야ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ이다희는 어제까지 살아있었잖아!!ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10877,"맨날보러와요 너무재밋써 ㅠㅠ
저때 21살이라니 진짜대박...미쳣음"
10878,이 집 잘하네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10879,"미역을 뜯어먹다니ㅋㅋㅋㅋㅋㅋㅋ 
왜캐 잘해"
10880,장모님이 왜그럴까 메이킹 없나욬ㅋㅋㅋㅋㅋ 보고싶은데ㅋㅋㅋㅋㅋ
10881,0:06 와 미역이 어떻게 저렇게 목에 착 감기지...? 마치 원래 있어야 할 자리로 되돌아간 거 같아...
10882,정주행할땐 띄엄띄엄 나와서 몰입이 안됬는데 이렇게 모아서 보니까 더 재밌는듯 ㅋㅋㅋ
10883,미치겠네 다희언니 개기여웡..ㅋㄹㅋㅋ 막 키쑤키쑤 키스 이러는데 진짜기여워요ㅠㅡㅠㅜㅠ
10884,저기 남주가 이재욱 이엇다닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 어디서 많이봣다더닠ㅋㅋㅋㅋㅋㅋ
10885,ㅋㅋㅋㅋ개웃기네~ 한국막장의 민낮~
10886,"아ㅋㅋㅋㄱㅋㅋㅋ제목 기억 안나서 
'이 미친 드라마야!!!!' 쳤는데 나옴ㅋㅋㅋㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
10887,ㅋㅋㅋㅋㅋㅋ미치겠다 병맛같은데 개웃김ㅋㅋㅋㅋㅋㅋ
10888,저 드라마 본적 없는데 이거 드라마속의 드라마 개꿀잼이네 ㅋㅋㅋ
10889,마지막ㅋㅋㅋㅋ 웃다보니 웃을 때가 아니었음...
10890,3:47 아닠ㅋㅋㅋㅋ임신한 배가 무슨 저랰ㅋㅋ애가 이불이냐곸ㅋㅋ
10891,막장의 막장의 막장 ㅋㅋㅋㅋㅋ 근데 나도 무정자증이야!!이것밖에 기억안남 ㅌㅋㅋㅌ꿀잼
10892,추민재ㅋㅋㅋㅋㅋㅋ 아니 여태 가족들은 동생이 있던것도 몰랐던거냐 개웃기네 진짜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10893,"이거 검블유 작가님이 만들고 싶었던 드라마를 내심 끼워넣은거 아님?? 진짜로 내면 욕 먹을것 같고 내보고는 싶고...

+ 좋아요 눌러준 400명아..왜 내가 검블유를 범블유라고 적은거 말안해주니.."
10894,근뎈ㅋㅋㅋㅋㅋ이다희ㅋㅋㅋ리엑션이 더웃곀ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개꿀잼
10895,미역뜯는 추민혁 너무 좋아...
10896,"그럼 이시기에 이재욱은 1인4역 한거네...
 추민혁 추민재 설지환 백경"
10897,솔직히 이거 너무 존잼.. 코너 속 코너같았어..
10898,아니 이런막장이 다있어ㅋㅋㅋ
10899,살다살다 드라마에나오는 드라마가 재밌을줄이야 ㅋ
10900,너무 재밌어ㅜㅠㅠㅠㅠ
10901,드라마속 드라마를 편집해서 올린 발상이 재밌다ㅋㅋㅋ
10902,이재욱 진짜 ㅡ막짱에 황재 ㅡㅡ미역 싸대기와 60대할머니와 사랑! 이런막장은 여태껏 없었고 없을것이다
10903,5분마다 저런 긴장감 넘치는 비지엠나오고 한 4부작으로....
10904,ㅋㅋㅋㅋㅋㅋㅋㅋ브금이안끝나 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ계속충격
10905,"여러분!! 금요일 정오에 나온 검블유 ost 총 앨범? 25번 트랙에  Daniel Lee님 께서 만들어주신 '장모님이 왜 그럴까'가 실려있습니다ㅠㅠㅠㅜㅠ 진짜 들으면 막 심장이 두근두근 막장의 세계가 촤라락 펼쳐지는 듯한 느낌이 들면서 민혁이뿐만아니라 무정자증 미역맛집 장모님 왕점 등이 생각납니다ㅠㅠㅠ 꼭 들어보세요 강추입니다ㅠㅠㅠ
노래에 기승전결이 있는 느낌이랄까.. 장모님이 왜 그럴까 팬분들은 들으러가세요!️️"
10906,"""깽단의 총을 맞고""ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개웃겨"
10907,여기서 이재욱이 연기를 너무 잘해버렸구낰ㅋㅋㅋㅋㅋ백경이 보이넥ㄲㅋㅋ
10908,존나 잘생겼다 이재욱 진짜
10909,주기적으로 보러와야함 꿀잼
10910,아 존나웃겨 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개막장
10911,솔직히 이거 한번본사람 없다 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10912,아니 어하루랑 검블유 같은배우 갭차이.. 와 설지환 입덕
10913,보면볼수록 개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ시팔ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
10914,너무 웃겨서 ㅋㅋㅋㅋㅋ
10915,아~~~이거 드라마 내주세요ㅋ 집에서 넘 심심한데 이거 넘 보구싶어욬ㅋㅋㅋㅋㅋㅋㅋ 젭ㅂ!!!빨!!!!!!
10916,맨날 막장이야 개웃 기네 진짜 ㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄹㅋㄲㅋㅋㄱㅋㄲㅋㄱㅋㅋㅋㅋㅋㅋㅋㅋㅋ 나 임신했어!!!!  야 내가 무정자증이약!!!!!!! 뇌정지 ㄹㅇ ㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄲㅋㄱㅋㄲㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱㅋㄱ 나이는 또 왜저러고 살아난 사람은 쌍둥이냐 ㅠㅠㅋㄱㅋㄱㅋㄱㅋㄲㅋㄱㅋㄱㅋㄹㅋㄹㅋㄹㄹㅋㄹㅋㅋㅋㅋㅋㅋㅋㅋ
10917,"3:39 ㅋㅋㅋㅋㅋㅋㅋㅋ
죽긴 누가 죽어 어제까지 살아있었잖아 이 미친 드라마얔ㅋㅋㅋㅋㅋㅋㅋㅋ"
10918,"To any of those who watches k dramas, Anyone can relate to Lee da hae’s reaction #relatable "
10919,이 영상 중독성 쩔어... 1일 1번..
10920,저거ㅠ연기하면서 얼마나 웃겻을까 ㅋㅋㅋㅋㅋㅋㅋ
10921,차현 넘 귀여워
10922,Still waiting for their own drama
10923,"드라마 속 드라마.. 이거 너무 꿀잼이야..
중독 오져,,,,,☆ 시청률 맛집이야ㅠㅠ"
10924,"캐막장 드라마  못 쓰는게 아니라  안 쓰는겁니다...라고  말하는듯..
굿...구욷..!!"
10925,놀라고 빡쳐하는 이다희 넘모 예쁘다
10926,4:25 겁나 귀여워ㅋㅋㅋㅋㅋ
10927,"이재욱 ㄹㅇ 인생캐 ,,,,"
10928,정주행했는데 ㅋㅋㅋㅋㅋ 보면 볼수록 펜트하우스 아니냐고ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㄹㅇ 김순옥이 이거 보고 만든거같은데
10929,The moment she realised that he kissed a girl HAHAHAHAHAH
10930,아니근데 장모님 연기 나무잘하심 ㅜㅡㅡ오져따
10931,3:40 여기 너무 중독성있음ㅋㅋㄱㄲ 계속 봐야징~~
10932,졸라 웃겨 아진짜아 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
10933,그때는 웃겼는데 지금 생각해보면 펜트하우스도 있는데 장모님이 왜그럴까도 정식 드라마로 방영해도 되지 않을까요? ㅋㅋ
10934,ㅋㅋㅋ 완전웃김 갈때까지 가보자 ㅋㅋㅋ
10935,bgm너무웃김ㅋㅋㅋㅋㅋㅋㅋㅋ
10936,아니 ㅋㅋㅋㅋㅋㅋㅋㅋ 왜 사위랑 장모랑 그러는건데 ㅋㅋㅋㅋㅋㅋ 미친 막장이넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 브금도 좋닼ㅋㅋㅋㅋ 무정자증 미친ㅋㅋㅋㅋㅋㅋ 이런막장이면 다시 살아돌아와도 시청자들도 그러려니할듯ㅋㅋㅋㅋㅋㅋ
10937,아침 or 주말 or 일일 드라마에 나와줘요 찰떡
10938,난 이게 진짜 방영한 드라마 인줄 알았음...
10939,너무재밌어ㅋㅋㅋ
10940,아앀ㅋㅋㅋㅋ 웃다가 팀 주르륵 함
10941,영상끊은것도 막장급ㄱㄲㅋㅋㄱ뒤에 차현반응 더보여주시지ㅠㅜ
10942,솔직히 추민혁도 필모에 넣어주자라는 댓글 봤는데 진짜 인정 ㅋㄷㅋㄷㅋㄷㅋㄷㅋㄷㅋㄷㄲㄷㄱㄷㅋ
10943,막장드라마 계속 보게 됰ㅋㅋㅋㄱ
10944,아빠가 모르는 숨겨진 아들(?) ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10945,아 이거 티비엔에서 편성해주세옄ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ너무 꿀잼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10946,I want an eng sub HAHAHAHAHA
10947,4:52 초에 방민숙 할때 자꾸 방민수크 라고 들려서 볼때마다 웃겨ㅋㅋㅋㅋㅋ
10948,차현 반응 = 내반응 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10949,저 휘몰아치는 브금까지 너무 찰떡 아침드라마야 ㅋㅋㅋ
10950,아니 저 ㅋㅋㅋㅋ머.? 누가죽어..? 가 너무 찐텐 어이없는 반응이라 더 웃기다구요 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10951,평범하게 죽지도 않았엌ㅋㅋㅋㅋ갱단의총ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10952,웃겨서 연기 어떻게 하나 싶어요 ㅋㅋㅋㅋ
10953,The drama that was within the drama  was more interesting than the main drama I looked forward to this drama. It was sooo epic
10954,"이재욱배우님 진짜 너무 잘생겼어!
이다희배우님 완전 걸크러쉬 이게 사람 얼굴이라니..  언니 와 대박 너무 이뻐요!
이 둘 조합 제발 한번더 아니 계속 안될까요!!"
10955,이드라마 따로 내도 될듯ㅋㅋ
10956,"이 솔직히 장모님이 왜그럴까? 보면서 
예나 선정이 딸이에요 만큼 충격먹음 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
10957,Watching k-drama including sevetal makjang for 20 years & tbh no makjang comes close to this seol jihwan drama! Like Chayeon said....heol daebak!
10958,나이거 처음봤는데ㅋㅋㅋㅋ드라마제발 누가만들어주세요 거의 아침드라마급 몰입도.
10959,서른 세살이 아니고 예순 세살이래 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10960,4:48 당신이 내 장모님이든 외계인이든 ㅋㅋㅋㅋㅋㅋㅋ
10961,장모님이 왜그럴까가 제일 재미있네
10962,저 와중에 키스신 못보게하는 이재욱 존귀탱ㅠ
10963,장모님의 유혹 왔다 장모님 장모 하우스 장모의 품격 내딸 장모님ㅋㅋㅋㅋㅋ
10964,Lol he got slapped by seaweed 
10965,현이 너무 귀여워 ㅋㅋㅋㅋㅋㅋㅋ
10966,한번씩 이재욱 나온 드라마 생각할때마다 장모님이 왜 그럴까가 젤 먼저 생각남ㅋㅋ
10967,이다희씨는 걸크러쉬 같아요. 이재욱씨도 매력적이고 연기도 넘 잘하네요.
10968,SSIBAL 아 진자 무정자증이야악!!!! 에서 뿜었다 진짜 아
10969,"아 미치겠다 진짜 돌아버리겠다  ㅋㅋㅋㅋㅋㅋㅋㅋ
뭐야 이 미친 발상 도대체 뭐야 ㅋㅋㅋㅋㅋ"
10970,예순세살이야ㅋㅋㅋㅋ 시불ㅋㅋㅋㅋㅋ 발음부터 웃김ㅋㅋㅋㅋㅋㅋㅋ
10971,아...이거 모아서 보고싶었는데!!관리자님 복받으세요
10972,이재욱 너무 좋아 ㅠㅠ ♡♡
10973,4:49 외계인이던 그 대사는 커피프린스 1호점 대사 아니냐구요 ㅋㅋㅋㅋㅋ
10974,The ending! Hahahahahahahahahahahaha!!!
10975,마지막에 차현 표정 ㅋㅎㅋㅎㅋㅎㅋ
10976,앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 장모님이 왜 그럴까 방송사 TBM이야ㅋㅋㅋㅋㅋㅋㅋㅋㅋ이제야 알다닠ㅋㅋㅋㅋㅋㅋ
10977,PLEASE I LOVE THEM SO MUCH!!! I WANT THEM BAAAAACK!!!!
10978,아니 드라마속 드라마가ㅋㅋㅋ 이렇게 몰입도 있을 일이냐고ㅋㅋㅋㅋㅋㅋ
10979,아니... 지금보니까 이다희 반응 = 요즘 내가 펜트하우스 볼때 반응이네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋ ㅋㅋ
10980,장모님이 왜그럴까 진짜 ㅋㅋㅋㅋㅋㅋk드라마 막장 다 때려늏으면 저런게 탄생하는듯
10981,ㅋㄱㅋㄱㅋ 컷 넘어갈 때마다 두구둥 따라란라라ㅏㄴ~이게 너무 웃겨
10982,예순 세살 어감 개웃기네 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 물 뿜
10983,처음에는 설지환 연기가 너무 고퀄이여서 봤는데 지금은 차현 리액션이랑 같이 볼려고 본다 ㅋㅋㅋ
10984,진짜 아침드라마 브금이랑 카메라 구돜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 클로즈업 하는거 봨ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10985,2:31 밥상 겁나 찰지게 엎넼ㅋㅋ
10986,"못본사람은 있어도 한번본 사람은 없다는 그 마성의 영상..,"
10987,"으른일때랑 학생일때랑 왤케 달라유...,, 반해버려.."
10988,아니 썸네일 이다희 표정때문에 알고리즘에 뜰때마다 보러옴...내가 몇번을 봤는지 참
10989,This was such a good drama oml I miss it sm
10990,정주행 갑니다 존잼 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10991,이다희 이쁨 뿜뿜!!!!
10992,"0:15
미역 먹고 “이집잘하네” ㅇㅈㄹ ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
10993,저런 컨셉 잡고 병맛 드라마 내도 될것 같은데..
10994,2:32  ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 급발진 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ  나만 존나 웃긴가 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10995,When she realizes that’s her bf kissing someone else at the end
10996,0:06아닠ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ미역잌ㅋㅋㅋㅋ무슨 목도리마냥 촵!!!하고 감기냨ㅋㅋㅋㅋㅋㅋㅋㅋㅋ설지환은 그걸또 먹고 이집잘하넼ㅋㅋㅋㅋㅋㅋ아나미치겠넼
10997,왜 이렇게 열심히 찍은 거야 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
10998,드라마속의 드라마 개재밋네 ㅋㅋㅋㅋㅋㅋ
10999,이거 BGM 너무 찰떡이야 ㅎㅎㅎ
11000,빨리 방영좀 해주세요
11001,본드라마 보다 캐막장 드라마가 더 재밌네 ㅋㅋㅋ
11002,"장모님이 왜그럴까 안에서의 역할이 어하루의 백경역이랑 비슷한듯 특히 맨 첨 화낼때 백경인줄ㅋㅋㅋㅋ 
어하루에 빠져서 이젠 미친다헤헤헼ㅔㅎ케"
11003,저게 실제로 나오면 부부의 세계는 로맨틱 코미디처럼 보일듯
11004,아닠ㅌㅋㅋㅋㅋㅋㅋㅌㅋ이거 얼마나 재밌으면 조회수가 500만이 넘냐고 심지어 난 1년 전인데 지금도 찾아본다니까?
11005,04:14 촬영장까지 간거 개웃기넼ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅌㅋㅋㅋ
11006,무정자증이야 진짜 계속 생각난다구요ㅠㅠㅠ큐큨ㅋㅋㅋㅋㅋㅋㅋㅋ큐큐ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
11007,장모님 왜 그럴까 뒷편은 없나요 진짜 존잼..
11008,우울할 때마다 또 보고있다.
11009,으아아아아앙!!!ㅠㅜ설지환...진짜..주인공으로 로코 한 번..가자요...ㅠㅜ
11010,심지어 장모님이 왜 그럴까에서 주인공이 설지완도 아니었잖아 ㅋㅋㅋ 차현 진짜 찐팬 ㅋㅋㅋ
11011,와..드라마속에 드라마짱이다..
11012,일벌어지기전에 나오는 드라마ost 트랄라라라라라라라사라사라라라라라라라 만나오면 그냥웃기네ㅋㅋ
11013,검블유는 미역을 참 좋아했던 것 같아요 ..설배우님 미역씬도 그렇고 가경선배의 미역국 장면도 그렇고^!^..
11014,설지환... 당신... 가만안도... 머리 올리고 수트라니... 너무하게 잘생겼잖아...
11015,"검블유 중 난 ""장모님이 왜그럴까 ""가 제일 재미있는듯"
11016,3:38 펜트하우스 보고온 지금 내심정.
11017,이거는 장모님이 왜그럴까가 아니라 장모님의 유혹이잖앜ㅋㅋㅋㅋ
11018,"서른세살이 아니라..예순세살이야!!!
아니 대사가ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ"
11019,장모님 전신성형 하면서 점은 안 없앴어ㅋㅋㅋ
11020,He is damn good.. keep doing good...jae wook
11021,(아무리 막장이어도...)드라마와 현실은 꼭!꼭! 구분합시다...
11022,쌍둥이동생 씬에서 장모님 쓰러질때 카메라 따라가는 퀄리티
11023,No entiendo nada pero me reí fuerte
11024,진짜 이재욱 나라세우자ㅜㅜㅜㅜㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ
11025,3:46 3:55 좀 뜬금없긴한뎈ㅋㅋㅋㅋㅋㅋㅋㅋ 맨끝에 여자분 임신하셨다고 배 나온거 연출하려고 한거 같은뎈ㅋㅋㅋㅋㅋ 어린애들 소꿉놀이할때 옷 쑤셔놓고 나 임신했어 할때 퀄리팈ㅋㅋㅋㅋㅋ
11026,드라마보다 차현이 더 귀여워
11027,악역을 욀케 잘하는지 어하루때도 중간에 완전 나쁘게 나올때 처음으로 드라마보다가 티비뿌실뻔 진짜 죽이고싶을정도로 악역 연기 완벽했음
11028,이다희 귀여워ㅠㅠㅠ
11029,저기서부터 시작된 이재욱이라는 배우의 심쿵사 
11030,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 진짜 이란 드라마 없냩ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
11031,이거 실제로 만드실 생각 없으세요...? 드라마속 드라마긴 한데 너무 재밌네요...
11032,"전에 이영상 봤을때 이남자재우가 적어도 서른넘을줄 알았는데,  어하루 보고 찾아봤는데 98년생인거 처음 알았을때 진짜 깜짝놀람 ㅋㅋㅋ나이가 어리지만 연기 잘하는거 인정"
11033,이다희 이제욱 짱 
11034,"마지막 차현 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
키스신에 멋있다고 좋아하다가
그 키스신에 남자 주인공이 내 남친인거 깨닳음 ㅋㅋㅋㅋ"
11035,근데 재밌긴하넼ㅋㅋㅋ 막장드라마 보는 우리반응이다 ㅋㅋㅋ
11036,진짜 저런드라마가 있는거면 ㅋㅋㅋㅋ 말도안되지
11037,That guy seriously has natural scream voice most korean actor leads doesn't have that
11038,이 집 잘하네 할때 목소리 랑 표정 개멋있어... 동생이지만.. 형... 아니 동생...아니 형... 아 몰라 멋있어...
11039,장모님이 왜그럴까 내 최애 드라마
11040,저거 보면서 주접떠는 언니밖에 안보임 ㅈㄴ 귀여움
11041,너무 재밋어... 장모님이 왜이럴까....ㅜㅡㅜ
11042,요즘 코로나 때문에 이런 막장 드라마 나오면 본방사수 아주 잘 할 자신있는데  이거 그래서 언제 제대로 드라마로 나오는지요
11043,차현도도하게 생긴 얼굴로 순수하게 막장드라마 몰입하는거 너무 귀여워 사랑한다 차현
11044,난 이제 저 노래가 제일 웃김 ㅋㅋㅋㅋㅋㅋㅋ
11045,이다희 ㄹㅇ 몸매며 외모며 배우 그자체네ㄷㄷ
11046,장모님이 왜 그럴까로 하나 만들어 주세요
11047,우울할때마다 봐야지
11048,검블유는 안 보고 이 장면만 3번 본 듯 ㅌㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
11049,편집자님 열일 감사해요... 딱 자려고 누웠는데ㅠ 검블유 검색한 내 자신 칭찬해..
11050,이재욱은 이런 연기도 잘하냐ㅠㅜㅠㅜ
11051,설지환 정석적 미남은 아닌데 진짜 멋지게생겼네
11052,악역도어울려 선한역도어울려  정말대성할배우임
11053,"At a young age, he is great. The way he bite the sea weeds "
11054,장모님 전신성형으로 세월도 거슬렀는데 왜 사마귀능 그대로 놔두냐궄ㅋㅋㅋ
11055,I love this BGM
11056,장기용 보려고 시청하다 이재욱에게 빠져버렸던 검블유~ 알고보니 알함브라 궁전의 추억에서 강렬했던 마르꼬~너무 매력적이라 이후부터 나온 어하루 날씨가좋으면찾아가겠어요 도도솔솔라라솔 환혼등등 짤로라도 다 챙겨봤는데 역시 너무 너무 다양한 색깔 매력적임
11057,이것만 지금 2번 보는중 막장 재밌네
11058,아니.. 민재 등장할때 아버지는 왜 놀라세요... 당신 둘째아들이잖아...
11059,마치 펜트하우스를 보는 나의 심정이랄까
11060,This so called drama in drama deserves a drama hahahahaha
11061,"씨없는슈박인게 자랑이야!!???! 가 없다니...ㅜ
하지만 이것만으로도 너뮤 조아요...
이 시간까지 편집해주셔서 고맙습니다 "
11062,심지어 재미있써 장모님이 왜구럴깡 ㅋㅋ
11063,개재밌네ㅠㅠㅠㅠ
11064,진짜 미쳤다 ㅋㅋ
11065,이거 실제로 아침 드라마로 만들어지면 아줌마들 반응폭발!!! 시청률 1위 각이닷!!ㅋㅋㅋㅋ
11066,아니시밬ㅋㅋㅋㅋ 장모님을 꼬셬ㅋㅋㅋㅋ
11067,3:40 이거부터 보면 ㄹㅇ 치인트 백인하 역을 이다희가 맡아도될정도로 광기어린역잘하넼ㅋㅋㅋㅋㅋㅋㅋㅋ
11068,이집 잘하네가 제일 웃기네
11069,"이때부터 현은 드라마의 빠지게 됐다
저는 추민재 동생 추민혁 입니다 할때
현이 아.. 너무 재밌다.."
11070,아 웃겨서 콧물나옴
11071,장모님이 왜그럴까 두둥탁하는소리만 들려도 설렘
11072,"지금 방학이신 분들 검블류 꼭 보세요ㅜㅠㅠㅠㅜ 진짜로ㅠㅠㅠ재미숴여ㅜㅠㅠㅠ 본방사수 했을 때 빠지지 않고 보구 맨날 친구들 만나면 드라마 얘기하면서 수다 떨고ㅜㅠㅠ큼 이건 tmi 지송
암튼 저 믿고 보십시오. 당장 롸잇 나우"
11073,아니 난 왜 얘 볼때마다 권현빈 생각이 나지 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
11074,ㅋㅋㅋㅋㅋ 98년생 피지컬봐. ㅠㅠㅠㅠㅠㅠ 재욱이 내사랑
11075,뭔 브금?? 이랬는데 계속 보다보니까 뭔지 알겠네ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ브금만 나와도 웃겨
11076,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ개웃기다
11077,ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 드라마 안에 드라마가 더 재밌어 ㅋㅋㅋㅋㅋㅋㅋ
11078,아니 어떻게...저게 뭔 관계얔ㅋㅋㅋ 그니까  사위의 새아내의 아버지와 재혼해서 사위의 새아내의 새엄마가 돼서 사위꼬시다가 사위의 숨겨진 형이랑 사랑에 빠지는...?ㅋㅋㅋㅌㅋㅋㅋㅋ
11079,when he said he is aspermia is killing me xD
11080,ㅋㅋㅋㅋ검블유 안봐서 몰랐는데ㅋㅋㅋ백경이 원래 장모님 저 드라마로 데뷔한 줄 알았닼ㅋㅋㅋㅋㅋㅋ
11081,드라마 안에서 나오는 막장 드라마 찍는데 저렇게 진지하게 각 잡고 연기 하기 있기냐곸ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
11082,요즘 드라마들 fun한게 많아서 막장에맞쨩에 뫅쫭까지 쉑쒝하면 됸나져쿤☆
11083,3:38 계속 돌려보게된닼ㅋㅋㅋㅋㅋㅋㅋㅋ
11084,ㅋㅋㅋ 드라마속 드라마가 더웃겨ㅋㅋ
11085,Lee jae wook should take the role as a villain
11086,4:24 너무 재밌다 소리 반복해서 봄 ㅠㅠㅠㅠ 안본 사람 없다..
11087,3:20 펜트하우스에서 퀸수련 칼에 찔릴 때 내 심정ㅋㅋㅋ
11088,처음에 이게 뭔 막장드라마지? 했는데 드라마 안의 아침 드라마였네 ㅋㅋㅋ
11089,Это до сих пор смешно хД
11090,첨엔 스물두살이라고 상상도 못했었지ㅋㅋㅋ
11091,검블유보다 이게 더 궁금한게 함정이야 ㅋㅋㅋ 작가가 스스로 함정을 팜
11092,시대를 앞서간 전신성형과 스토리 ㅋㅋㅋ
11093,저때 설지환 너무 맘에 들어서 찾아봤더니 22살인가밖에 안된게 놀라웠음. 애기였어
11094,단근초를 한단지를 다 마셔버린거냐구 ㅜㅜ
