,comment
127,내가 그 날 잘했니 ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
128,다시봐도 재밋음!!!!♡♡♡♡
129,진짜 너무좋다 ㅠㅠㅠㅠㅠㅠ
130,아 진짜 나 왜 이거 지금 발견했지 ㅠㅠㅠ 아하아아ㅏㅏ 나 죽어 기용오빠ㅠㅠㅠㅠㅠ
131,활짝 웃으면서 화장했더니 자국생겼다..; 월요일 아침이 이렇게 행복할줄이야ㅋㅋ
132,진짜 이드라마보면서 언니들멋짐에 치이고 장기용때문에 연애세포살야남ㅜㅜㅜㅠㅠㅜㅡㅜㅜㅠ또봐야지 장기용
133,오존 노래참잘어울린다 드라마랑
134,여기서 박모건과 장기용의 싱크는.....하....️ 이젠 저 노래만 들려도 설레....
135,힘들 때 옆에 있어주면 마음이 안 갈 수가 없지ㅠ
136,이거 보고 검블유 정주행했어요..... 행복쓰
137,모건이 너무 시크해 귀엽당 ㅋㅋ
138,아니 제발 장기용 말하는것부터 얼굴까지 코피터진다 진짜
139,와 씨 진짜 가지고싶은 남자처럼 대사썼고연기했다
140,Love this song
141,진짜 장기용 나저씨때 부터 눈여겨봤는데 넘 멋있다. 목소리 왜 더 굵어진거 같지??
142,hola soy María Luisa Castro Aguilar estoy viendo este drama por Netflix muy bueno los dos actores hombres principales guau muy varoniles guapos y  actuan super bien vivo Querétaro Mexico
143,이 커플 나오는 씬만 잘라 편집 해놀고 싶다고 생각했는데 올려주시네요 감사합니다 ㅠㅠ
144,"목소리 조오오온나
좋다 진짜 아ㅠㅜㅠㅜㅡ"
145,장기용 미쳤다ㅠ 게다가 연하임
146,what can I say... I like his voice tone :)
147,"대사가
정말
예술이네 "
148,"목소리 일부러 그러는거에요?
너무좋잖아.."
149,아니 이 언니는 늙지를 않아.............
150,와 ㅅㅂ 진짜 장기용 이런 역할 다시안하나?!!
151,세련된 드라마
152,배타미 미친다.. 너무 ㅠ 귀여워
153,그동안 뛰지 않았던 내 얼음같은 심장을 다시 뛰게해준 검블유 사랑해요 저런사랑 하고싶다 ㅜㅜ
154,으어어유ㅠ유유유ㅠ유유유유유ㅠㅠㅠㅠ장기용 사랑해ㅠㅠㅠㅠㅠ고백부부 진짜 누가봐도 장기용이 벤츠였닥휴ㅠㅠㅠㅠㅠㅠㅠㅠ
155,"후방주의는 무슨 의미인가요? 
저 남자 주인공은 정말 느끼하면서 좋네요.두근 거려요. 여자 주인공은 현실적인 연기 정말 리얼하고 좋네요~^^"
156,하ㅏ카컼ㅋ하카핳하카캌ㅋ 보는내네 웃기만 했다 ㅋㅋㅋㅋㅋㅋㅋㅋ
157,아 너무 느끼한데............ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 귀여우면 가져야지...... 괜찮네...
158,장기용얼굴이랑 목소리가 미쳣네ㅔ
159,핵까칠남과 차도녀의 러브스토리는 절대 불가능할 듯.
160,내 죽은 연애세포 살짝 불 타오르기 시작한거 같은데 당장 보러 간다
161,3:15 찡긋......심장 녹았다
162,지금까지 검블유 안봤던 날 죽인다
163,ㅋㅋㅋ아 뭐지 장기용 말투 왜 최준같애ㅋㅋㅋ너무 준며들었나
164,검블유 시청 단점:박모건 보다 남친 보면 마음이 파사삭....박모건 당신 너무 판타지다 엉엉ㅠㅠ
165,장기용 미쳤어 ㅜㅜ
166,POST ABOUT CHA HYEON AND SEOL JI HWAN TOO PLEASE
167,귀여우면 가져야지 대사 좋다~
168,임수정 졸라 예뻐 ㅜㅜㅜㅜ
169,"귀여우면 가져야지,,,, 모건아 귀엽다 너.."
170,이거는 진짜 박모건이라서 가능한 것...
171,와 수정쓰 조녜네 진짜 나이는 내가 다 먹었나봐ㅠㅠㅠㅠㅠㅠ
172,내가 그날 잘했니 ㅅㅂㅋㄱㅋㅋㄲㅋㅋㄲㄱㅋㅋㅋㅋㅋㅋㅋㅋㅌㅌㅋㅋㅋㅋㅋ아 개터짐 진짴ㅋㅋㄱㅋㄲㅋㅋㄲㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ
173,"어항이야기하면서 눈찡긋 ~
"
174,임수정나온건 다재밌더라
175,장기용 때문에 남친이랑 헤어졌어요. (이하생략)
176,어머 이드라마 뭐니 정주행하러갑니다
177,와 장기용 멘트..받아적어!!!
178,이상하다 내취향아니었는데 점점 잘생겨보인다...
179,"박모건: 미성년자는 아니에요
배타미: 내가 그날 잘했니"
